model_id,dataset_id,batching,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,32,90.5672,176.6644,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,33,149.4513,107.0583,4.8125,5,2.75,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,34,354.4686,45.138,22.3125,24,10.25,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,35,143.7975,111.2676,5.3125,6,2.875,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,36,560.1611,28.5632,34.4375,40,16.0625,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,37,163.3047,97.9764,7.5625,8,3.5,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,38,222.6917,71.8482,13.5625,16,6.125,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,39,142.8252,112.025,6.25,7,2.875,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,40,120.7324,132.5245,3.9375,4,2.5625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,41,400.1721,39.9828,27.875,31,11.1875,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,42,106.1234,150.7679,1.75,3,1.1875,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,43,147.873,108.2009,5.0,5,2.875,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,44,359.2374,44.5388,22.375,24,10.75,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,45,85.4124,187.3263,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,46,224.8789,71.1494,13.5,16,6.375,8
